arm,display,group,label,rep,tau_hat,I_fit_selected,I_true_selected,I_fit_reference,I_true_reference,I_true_star,ceiling_error_selected,ceiling_error_reference,ceiling_error_uniform,ceiling_signed_selected,design_regret,design_regret_exhaustive,ridge_r2_selected,ridge_r2_oracle,ridge_loss_selected,ridge_regret,protocol_selected,protocol_star
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,mean,136,1.3959251512168411,0.4265889486398677,0.4855369825673625,0.30364503130505266,0.37826575557885156,0.5009103893166198,0.058948033927494814,0.0746207242737989,0.09214555746620351,-0.058948033927494814,0.015373406749257301,0.015373406749257301,0.4959101262904405,0.49884371452886966,0.5040898737095595,0.0029335882384291523,t15.00+t17.00+t18.50+t19.75,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,occupation,136,1.3959251512168411,0.3889372957343721,0.44488131256162206,0.27504335743388447,0.3430976496707513,0.45683901792825254,0.055944016827249976,0.06805429223686682,0.08411848451774556,-0.055944016827249976,0.011957705366630489,0.011957705366630489,0.46085524477820283,0.46408604656844465,0.5391447552217972,0.003230801790241822,t15.00+t17.00+t18.50+t19.75,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,mean,137,1.503923989777442,0.4412990959953427,0.5009103893166198,0.31878653238480015,0.37826575557885156,0.5009103893166198,0.05961129332127707,0.05947922319405141,0.07351084813319153,-0.05961129332127707,0.0,0.0,0.489013052402542,0.4920842626877152,0.510986947597458,0.0030712102851732093,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,occupation,137,1.503923989777442,0.4012942473104011,0.45683901792825254,0.2888929903715364,0.3430976496707513,0.45683901792825254,0.05554477061785146,0.05420465929921492,0.06707434010487656,-0.05554477061785146,0.0,0.0,0.42777016994383754,0.45877538525927175,0.5722298300561625,0.03100521531543421,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,mean,138,1.4954417307760925,0.44006610399442,0.5009103893166198,0.3176292970305965,0.37826575557885156,0.5009103893166198,0.06084428532219982,0.06063645854825506,0.07493815266660225,-0.06084428532219982,0.0,0.0,0.5144005012231552,0.5003650789837379,0.48559949877684483,-0.014035422239417228,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,occupation,138,1.4954417307760925,0.40022223380592536,0.44488131256162206,0.2878352107224959,0.3430976496707513,0.45683901792825254,0.04465907875569669,0.05526243894825539,0.06837923683602248,-0.04465907875569669,0.011957705366630489,0.011957705366630489,0.45091896232558115,0.4455829312993954,0.5490810376744188,-0.005336031026185739,t15.00+t17.00+t18.50+t19.75,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,mean,139,1.5627803827815003,0.44962280836652657,0.5009103893166198,0.3266722983014261,0.37826575557885156,0.5009103893166198,0.051287580950093226,0.05159345727742548,0.0637745914747847,-0.051287580950093226,0.0,0.0,0.5122766068857791,0.4875598286476155,0.48772339311422086,-0.02471677823816365,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,occupation,139,1.5627803827815003,0.4090486446652713,0.45683901792825254,0.29609785527318233,0.3430976496707513,0.45683901792825254,0.047790373262981245,0.04699979439756896,0.05817565804396174,-0.047790373262981245,0.0,0.0,0.45914954749385406,0.4488727780225782,0.5408504525061459,-0.01027676947127587,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,mean,140,1.457557298262739,0.4344521475877284,0.5009103893166198,0.3123951961811041,0.37826575557885156,0.5009103893166198,0.06645824172889142,0.06587055939774744,0.08138799778603012,-0.06645824172889142,0.0,0.0,0.494609457116307,0.5029250533915866,0.505390542883693,0.008315596275279558,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,occupation,140,1.457557298262739,0.39604708108631426,0.44488131256162206,0.2830494515963355,0.3430976496707513,0.45683901792825254,0.0488342314753078,0.060048198074415804,0.07427713563452026,-0.0488342314753078,0.011957705366630489,0.011957705366630489,0.43547373346629936,0.4261670687670742,0.5645262665337006,-0.009306664699225142,t15.00+t17.00+t18.50+t19.75,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,mean,141,1.6247575996062036,0.4579713862519487,0.5009103893166198,0.3347126369399203,0.37826575557885156,0.5009103893166198,0.04293900306467108,0.04355311863893124,0.05383371912084428,-0.04293900306467108,0.0,0.0,0.4762471237275716,0.46848247196001214,0.5237528762724284,-0.007764651767559472,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,occupation,141,1.6247575996062036,0.4168269300463999,0.45683901792825254,0.30343822874227355,0.3430976496707513,0.45683901792825254,0.04001208788185262,0.03965942092847774,0.049094617810713836,-0.04001208788185262,0.0,0.0,0.42526635853602646,0.44923254812172775,0.5747336414639735,0.023966189585701292,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,mean,142,1.5105224529593144,0.44225231949295557,0.5009103893166198,0.3196830982385034,0.37826575557885156,0.5009103893166198,0.05865806982366423,0.058582657340348177,0.07240475782606876,-0.05865806982366423,0.0,0.0,0.5137832381855267,0.4965405633909922,0.48621676181447326,-0.017242674794534563,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,occupation,142,1.5105224529593144,0.40218223456603586,0.45683901792825254,0.28971242107234,0.3430976496707513,0.45683901792825254,0.05465678336221669,0.05338522859841127,0.06606317617109853,-0.05465678336221669,0.0,0.0,0.4484881973102769,0.41504155352662064,0.5515118026897231,-0.03344664378365625,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,mean,143,1.71002718326214,0.46881227488565813,0.5009103893166198,0.3453546736087565,0.37826575557885156,0.5009103893166198,0.032098114430961666,0.03291108197009507,0.04066525917871161,-0.032098114430961666,0.0,0.0,0.4866860138907949,0.4951149936315069,0.5133139861092051,0.008428979740711995,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
