kernel,label,m,rep,eps_m,I_star,regret_robust,regret_plugin_greedy,regret_plugin_exhaustive,diff_robust_minus_plugin,robust_wins,tie,same_protocol
trait_ou,mean,25,91,0.2675113952597812,0.6907252995047104,0.022929268809470882,0.033776082440184596,0.033776082440184596,-0.010846813630713714,1,0,0
trait_ou,mean,25,92,0.16141453023581342,0.6907252995047104,0.0523526226783142,0.0523526226783142,0.0523526226783142,0.0,0,1,1
trait_ou,mean,25,93,0.12298885010410732,0.6907252995047104,6.460355991932953e-05,0.029245541514213547,0.029245541514213547,-0.029180937954294217,1,0,0
trait_ou,mean,25,94,0.16877241314717895,0.6907252995047104,0.07041380231668404,0.04771613906327843,0.04771613906327843,0.02269766325340561,0,0,0
trait_ou,mean,25,95,0.3752755241632283,0.6907252995047104,0.059583266313413374,0.10088029696595979,0.10088029696595979,-0.04129703065254642,1,0,0
trait_ou,mean,25,96,0.329107806170894,0.6907252995047104,0.09921130033427483,0.06579858315924969,0.029160307758613557,0.03341271717502514,0,0,0
trait_ou,mean,25,97,0.19591092245388048,0.6907252995047104,0.029328021304008245,0.029328021304008245,0.029328021304008245,0.0,0,1,1
trait_ou,mean,25,98,0.15453160139780325,0.6907252995047104,0.04408576149946608,0.022073528841416445,0.051482732089624395,0.022012232658049635,0,0,0
trait_ou,mean,25,99,0.1800899635203438,0.6907252995047104,0.02916030775861367,0.006429936994737484,0.006429936994737484,0.022730370763876184,0,0,0
trait_ou,mean,50,0,0.12424736086196198,0.6907252995047104,0.0034570449424916605,0.02327881424052236,0.02327881424052236,-0.0198217692980307,1,0,0
trait_ou,mean,50,1,0.18525222248443002,0.6907252995047104,6.460355991932953e-05,6.460355991932953e-05,6.460355991932953e-05,0.0,0,1,1
trait_ou,mean,50,2,0.1737360650256442,0.6907252995047104,6.460355991932953e-05,6.460355991932953e-05,0.0,0.0,0,1,1
trait_ou,mean,50,3,0.1574707542215441,0.6907252995047104,0.007150820228128185,0.03595690901246118,0.013183901743084814,-0.028806088784332995,1,0,0
trait_ou,mean,50,4,0.12425664762224031,0.6907252995047104,0.027769442515435228,0.009357104428705854,0.009357104428705854,0.018412338086729374,0,0,0
trait_ou,mean,50,5,0.15664622386767368,0.6907252995047104,0.009357104428705854,0.009357104428705854,0.009357104428705854,0.0,0,1,1
trait_ou,mean,50,6,0.156041830523365,0.6907252995047104,0.022309600024943754,0.022309600024943754,0.0,0.0,0,1,1
