alpha,label,protocol,model,n_train,n_train_used,is_reference,seed_index,seed_key,r2_test,r2_bayes_test,r2_best_linear_test,hyperparameter,ceiling,label_variance,ceiling_best_linear,r2_class_reference,protocol_gap,approximation_gap,estimation_gap,protocol_gap_paired,approximation_gap_paired,approximation_gap_exact_linear,ceiling_utilization,absolute_gap,protocol_share_of_residual
0.0,occupation,same_time,mlp,20000,20000,1,0,"[20260802, 0, 0]",0.08363052555570949,0.084293463830444,0.08268748785224278,weight_decay=0.001,0.0860502626123045,0.016804686944287432,0.08452056361587312,0.08363052555570949,0.9139497373876955,0.0024197370565950116,0.0,0.915706536169556,0.0006629382747345147,nan,0.9718799573279976,0.0024197370565950116,0.9973594307491938
0.0,occupation,dispersed,ridge,100,100,0,0,"[20260802, 0, 0]",0.2827029956766748,0.3321312008012557,0.3300964091466754,cv-alpha,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.32967963267662725,0.6711715461902938,-0.000851178866921154,0.04697663699995247,0.6678687991987443,0.0024515681246284338,0.0020096908091006838,0.8597278988523169,0.046125458133031316,0.9356954541075427
0.0,occupation,dispersed,gp,100,100,0,0,"[20260802, 0, 0]",0.2621722394783941,0.3321312008012557,0.3300964091466754,reg=1,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.3227924811758065,0.6711715461902938,0.0060359726338996,0.060620241697412425,0.6678687991987443,0.009338719625449188,nan,0.7972918293442873,0.06665621433131202,0.9096588419441014
0.0,occupation,dispersed,mlp,100,100,0,0,"[20260802, 0, 0]",0.26127492357206894,0.3321312008012557,0.3300964091466754,weight_decay=0.1,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.32693449140453157,0.6711715461902938,0.0018939624051745318,0.06565956783246263,0.6678687991987443,0.00519670939672412,nan,0.794563002517019,0.06755353023763716,0.9085538959036168
0.0,occupation,dispersed,ridge,250,250,0,0,"[20260802, 0, 0]",0.3092649466085394,0.3321312008012557,0.3300964091466754,cv-alpha,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.32967963267662725,0.6711715461902938,-0.000851178866921154,0.02041468606808783,0.6678687991987443,0.0024515681246284338,0.0020096908091006838,0.9405054307967883,0.019563507201166674,0.9716772630763253
0.0,occupation,dispersed,gp,250,250,0,0,"[20260802, 0, 0]",0.3017919625958755,0.3321312008012557,0.3300964091466754,reg=1,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.3227924811758065,0.6711715461902938,0.0060359726338996,0.021000518579931016,0.6678687991987443,0.009338719625449188,nan,0.917779343908369,0.027036491213830616,0.9612773131137964
0.0,occupation,dispersed,mlp,250,250,0,0,"[20260802, 0, 0]",0.3107881000100202,0.3321312008012557,0.3300964091466754,weight_decay=0.1,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.32693449140453157,0.6711715461902938,0.0018939624051745318,0.01614639139451135,0.6678687991987443,0.00519670939672412,nan,0.9451374916292192,0.018040353799685882,0.9738246629230456
0.0,occupation,dispersed,ridge,500,500,0,0,"[20260802, 0, 0]",0.31829389506150396,0.3321312008012557,0.3300964091466754,cv-alpha,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.32967963267662725,0.6711715461902938,-0.000851178866921154,0.011385737615123293,0.6678687991987443,0.0024515681246284338,0.0020096908091006838,0.9679633601467514,0.010534558748202139,0.9845467736435298
0.0,occupation,dispersed,gp,500,500,0,0,"[20260802, 0, 0]",0.3120556116888106,0.3321312008012557,0.3300964091466754,reg=3,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.3227924811758065,0.6711715461902938,0.0060359726338996,0.010736869486995926,0.6678687991987443,0.009338719625449188,nan,0.9489921205827218,0.016772842120895526,0.9756188982628805
0.0,occupation,dispersed,mlp,500,500,0,0,"[20260802, 0, 0]",0.31980288567523885,0.3321312008012557,0.3300964091466754,weight_decay=0.1,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.32693449140453157,0.6711715461902938,0.0018939624051745318,0.007131605729292723,0.6678687991987443,0.00519670939672412,nan,0.9725523505344511,0.009025568134467254,0.9867309520367091
0.0,occupation,dispersed,ridge,1000,1000,0,0,"[20260802, 0, 0]",0.32420913686137676,0.3321312008012557,0.3300964091466754,cv-alpha,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.32967963267662725,0.6711715461902938,-0.000851178866921154,0.005470495815250498,0.6678687991987443,0.0024515681246284338,0.0020096908091006838,0.9859521981908459,0.004619316948329344,0.9931645762020581
0.0,occupation,dispersed,gp,1000,1000,0,0,"[20260802, 0, 0]",0.3163020192688739,0.3321312008012557,0.3300964091466754,reg=3,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.3227924811758065,0.6711715461902938,0.0060359726338996,0.0064904619069325875,0.6678687991987443,0.009338719625449188,nan,0.9619058679511924,0.012526434540832188,0.9816784093358929
0.0,occupation,dispersed,mlp,1000,1000,0,0,"[20260802, 0, 0]",0.3214584583454758,0.3321312008012557,0.3300964091466754,weight_decay=0.1,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.32693449140453157,0.6711715461902938,0.0018939624051745318,0.0054760330590557516,0.6678687991987443,0.00519670939672412,nan,0.9775871115201749,0.007369995464230283,0.9891384756690657
0.0,occupation,dispersed,ridge,2500,2500,0,0,"[20260802, 0, 0]",0.3282494554105767,0.3321312008012557,0.3300964091466754,cv-alpha,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.32967963267662725,0.6711715461902938,-0.000851178866921154,0.0014301772660505474,0.6678687991987443,0.0024515681246284338,0.0020096908091006838,0.9982392083397246,0.0005789983991293934,0.999138075281378
0.0,occupation,dispersed,gp,2500,1500,0,0,"[20260802, 0, 0]",0.316550564368544,0.3321312008012557,0.3300964091466754,reg=10,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.3227924811758065,0.6711715461902938,0.0060359726338996,0.006241916807262493,0.6678687991987443,0.009338719625449188,nan,0.9626617182944048,0.012277889441162093,0.9820354092035817
