config,cid,arm,m,rep,label,I_true_ref,I_hat_ref,ref_err,uniform_err,k_err,r_eff,nu2_used,ci_lo,ci_hi,ci_width,covered,bound,bound_ratio,bound_lt_one,small_pert_ok
ou_alpha0_nu0,4,known,100,174,mean,0.26799418107294054,0.3012460475225213,0.03325186644958078,0.135524569737642,5.0410019658907,9.032726775206932,0.0,0.2017253978538967,0.4305854595874876,0.2288600617335909,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,174,sigmoid,0.26258063840905604,0.294652742177014,0.03207210376795794,0.13180017535988253,5.0410019658907,9.032726775206932,0.0,0.19738792518926115,0.42179828967668237,0.22441036448742122,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,174,occ_c0,0.24401651828426504,0.2723058950024796,0.02828937671821455,0.11993425180695838,5.0410019658907,9.032726775206932,0.0,0.181961161750928,0.3937998504539782,0.2118386887030502,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,174,occ_c1,0.2131886770478779,0.23365944537487734,0.020470768326999456,0.09329520893080873,5.0410019658907,9.032726775206932,0.0,0.15959015959115014,0.33251095923437285,0.1729207996432227,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,175,mean,0.26799418107294054,0.20663095091604028,-0.06136323015690026,0.10112092414794188,5.463427011926579,9.460042255220058,0.0,0.14038469611954796,0.31154819069476114,0.17116349457521318,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,175,sigmoid,0.26258063840905604,0.2021294889245557,-0.06045114948450034,0.09895105109317676,5.463427011926579,9.460042255220058,0.0,0.13750604584605533,0.3051360668470879,0.16763002100103255,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,175,occ_c0,0.24401651828426504,0.1865329635843918,-0.057483554699873235,0.09218718702429114,5.463427011926579,9.460042255220058,0.0,0.1271642880948082,0.28319912328344915,0.15603483518864095,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,175,occ_c1,0.2131886770478779,0.16354041402530917,-0.04964826302256872,0.07489238023578798,5.463427011926579,9.460042255220058,0.0,0.12055157546787812,0.24212510107306068,0.12157352560518256,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,176,mean,0.26799418107294054,0.31730854708283807,0.049314366009897526,0.21850688906448354,5.066033166290993,8.270734242991445,0.0,0.23707939198209693,0.41928171076942683,0.1822023187873299,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,176,sigmoid,0.26258063840905604,0.3112422939891269,0.04866165558007085,0.21463217482916322,5.066033166290993,8.270734242991445,0.0,0.23173317248955638,0.41182488579570353,0.18009171330614715,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,176,occ_c0,0.24401651828426504,0.2904995943984012,0.04648307611413613,0.20138352722367964,5.066033166290993,8.270734242991445,0.0,0.21354817137722898,0.3839531191064845,0.17040494772925552,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,176,occ_c1,0.2131886770478779,0.2534610245572901,0.04027234750941219,0.17139332422714085,5.066033166290993,8.270734242991445,0.0,0.1905978200138877,0.3335048839305975,0.14290706391670982,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,177,mean,0.26799418107294054,0.2675187975789974,-0.00047538349394316004,0.11495698020903557,4.791979668149604,8.825503885412962,0.0,0.1809589696290586,0.3693167478070451,0.1883577781779865,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,177,sigmoid,0.26258063840905604,0.26130793426113785,-0.001272704147918191,0.11251397963062171,4.791979668149604,8.825503885412962,0.0,0.1772231189217807,0.36082938681531274,0.18360626789353204,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,177,occ_c0,0.24401651828426504,0.2405527212850613,-0.0034637969992037387,0.10468289403515907,4.791979668149604,8.825503885412962,0.0,0.16399014401939585,0.3331398718272382,0.16914972780784235,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,177,occ_c1,0.2131886770478779,0.20630431614530118,-0.006884360902576714,0.08201486082437505,4.791979668149604,8.825503885412962,0.0,0.14678671983993544,0.2820025871215,0.13521586728156457,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,178,mean,0.26799418107294054,0.293081150641201,0.025086969568260453,0.161510301639833,5.227397621114103,8.406427595873085,0.0,0.22287792591247796,0.4135697337683091,0.19069180785583112,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,178,sigmoid,0.26258063840905604,0.2870295666957656,0.02444892828670958,0.1579042727878746,5.227397621114103,8.406427595873085,0.0,0.21742815053226242,0.4056290507656631,0.18820090023340066,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,178,occ_c0,0.24401651828426504,0.2667560831256645,0.022739564841399468,0.14647624196021344,5.227397621114103,8.406427595873085,0.0,0.19996297355531895,0.37853853520380937,0.17857556164849042,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,178,occ_c1,0.2131886770478779,0.2310717275913913,0.017883050543513412,0.11955283759850205,5.227397621114103,8.406427595873085,0.0,0.1784205840946766,0.31924173115400273,0.14082114705932613,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,179,mean,0.26799418107294054,0.33089979689655374,0.0629056158236132,0.1690871935520065,5.847221630478284,8.834916741551812,0.0,0.2510147240385839,0.4217785369314795,0.1707638128928956,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,179,sigmoid,0.26258063840905604,0.32236936014499395,0.05978872173593791,0.16549861754379513,5.847221630478284,8.834916741551812,0.0,0.24532510173889308,0.4084816676044241,0.16315656586553104,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,179,occ_c0,0.24401651828426504,0.2938185481007867,0.04980202981652168,0.1540123237435462,5.847221630478284,8.834916741551812,0.0,0.22304413334702192,0.3734765901994736,0.15043245685245168,1,inf,inf,0,0
