p,d_obs,n_directions,eps,ceiling_gap,observed_discrepancy,I_plus,I_minus
8,2,24,0.32779950828244514,0.2297077645459974,2.7755575615628914e-17,0.5798768518239289,0.3501690872779315
8,2,24,0.27274415283546494,0.23344314019142362,2.7755575615628914e-17,0.4508706744990158,0.21742753430759218
8,2,24,0.20559490595038837,0.09137635116405379,0.0,0.26853563510417944,0.35991198626823323
8,2,24,0.2137764835282818,0.26257488848580524,5.551115123125783e-17,0.46719086599956294,0.7297657544853682
8,2,24,0.61209651280034,0.4173740190740997,8.326672684688674e-17,0.2635630446135773,0.680937063687677
8,2,24,0.29611834664330067,0.16254381623951675,2.7755575615628914e-17,0.5212190834394965,0.3586752671999798
8,2,24,0.17551751159422938,0.10303353538595694,2.7755575615628914e-17,0.42689418293073833,0.5299277183166953
8,2,24,0.4120227691290688,0.17614030125513608,5.551115123125783e-17,0.10581804856944492,0.281958349824581
8,2,24,0.29975738357716175,0.17416096132261497,2.7755575615628914e-17,0.37633863421520913,0.20217767289259417
8,2,24,0.5114974842429607,0.29459684869899255,5.551115123125783e-17,0.03498394964565161,0.32958079834464415
8,2,24,0.643164709403708,0.17285752234006924,5.551115123125783e-17,0.2593854000295313,0.43224292236960055
8,2,24,0.43552071093393696,0.35284860591893047,1.3877787807814457e-17,0.42336954423988965,0.0705209383209592
8,2,24,0.2137363508857051,0.24948719698946992,2.7755575615628914e-17,0.18597695534840836,0.4354641523378783
8,2,24,0.2681263395985494,0.07208245089795687,2.7755575615628914e-17,0.1359503030976847,0.06386785219972782
8,2,24,0.1174733434014413,0.02702488741934661,5.551115123125783e-17,0.3649350732585578,0.3379101858392112
8,2,24,0.3895383185703596,0.0953341910502502,5.551115123125783e-17,0.007421661091872607,0.10275585214212281
8,2,24,0.17659065707618243,0.06375997597715943,5.551115123125783e-17,0.13222592176638523,0.19598589774354466
8,2,24,0.2478681129623382,0.15205414401387107,2.7755575615628914e-17,0.8315424166494351,0.679488272635564
8,2,24,0.10476688246600901,0.0192895103859314,2.7755575615628914e-17,0.03975099008434148,0.020461479698410077
8,2,24,0.3280998288067789,0.2155554063563676,2.7755575615628914e-17,0.29541274848440024,0.5109681548407679
8,2,24,0.20609251309685384,0.227223731398014,1.3877787807814457e-17,0.5281469844568365,0.3009232530588225
8,2,24,0.30360010299518175,0.20776251535676016,3.469446951953614e-17,0.016753337938959365,0.22451585329571952
8,2,24,0.1814286372789303,0.1253013926156189,0.0,0.2186253583184506,0.3439267509340695
8,2,24,0.11489167959593052,0.08376568313271615,2.0816681711721685e-17,0.471358690291276,0.3875930071585598
8,2,24,0.22930720125817142,0.165153581075138,5.551115123125783e-17,0.26292384675413666,0.09777026567899866
8,2,24,0.1845637110721406,0.042915235147318855,6.938893903907228e-17,0.011624138061529883,0.05453937320884874
8,2,24,0.29218149214708455,0.14048609844048054,2.7755575615628914e-17,0.20698943488765764,0.3474755333281382
8,2,24,0.22303506523424405,0.10974898456403032,5.551115123125783e-17,0.31711453566707676,0.4268635202311071
8,2,24,0.4277566140080079,0.24834496446674698,1.3877787807814457e-17,0.25877129577099117,0.010426331304244205
8,2,24,0.4594488038606973,0.22676940724674083,2.7755575615628914e-17,0.3711234539089558,0.5978928611556966
8,2,24,0.45680461169210695,0.22301034290702676,2.7755575615628914e-17,0.026415508133202883,0.24942585104022966
8,2,24,0.25670739705907936,0.21617258607113865,5.551115123125783e-17,0.5479866177627715,0.3318140316916328
8,2,24,0.4927840624644477,0.27364692758513665,2.7755575615628914e-17,0.02492949655130257,0.2985764241364392
8,2,24,0.280463755386589,0.07152050501292219,2.7755575615628914e-17,0.09728258970258673,0.16880309471550892
8,2,24,0.4285063721671427,0.3190146399393683,5.551115123125783e-17,0.5211270670662531,0.8401417070056214
8,2,24,0.22850902526366082,0.0682417651068992,2.7755575615628914e-17,0.17253045332243125,0.10428868821553205
8,2,24,0.04789071618849175,0.029608911819993547,0.0,0.07146973973023525,0.1010786515502288
8,2,24,0.18105423227352152,0.054745349190833896,2.7755575615628914e-17,0.08511868484895149,0.030373335658117596
8,2,24,0.16104565597136772,0.1872021330644678,1.3877787807814457e-17,0.5860780382762837,0.3988759052118159
8,2,24,0.016301298077180167,0.014028596226431045,2.7755575615628914e-17,0.3836027921760326,0.36957419594960156
8,2,24,0.6646515244762831,0.49678629530592117,2.0816681711721685e-17,0.817811072042224,0.32102477673630286
8,2,24,0.31846381153543835,0.26874255381063206,0.0,0.5366730648554249,0.2679305110447928
8,2,24,0.39909798961295107,0.30384498537023985,5.551115123125783e-17,0.3668709639292069,0.063025978558967
8,2,24,0.29619944362654693,0.1535251924131289,2.7755575615628914e-17,0.7643790090639263,0.9179042014770552
8,2,24,0.14700684772060402,0.3106568022473792,2.0816681711721685e-17,0.34053258037119455,0.6511893826185737
