r_max,scale,e_norm,dV_mean,dV_sigmoid,dV_occ_c0,dV_occ_c1
0.999,0.008458098281751338,0.008427310607306044,2.1802571264454654e-05,2.5203494744709583e-06,6.694311497953316e-05,4.059673641216057e-05
0.999,0.02310129700083158,0.022568350089521363,5.2094995215886304e-05,5.970825756038134e-06,0.0002225044831656096,0.0001351477448801842
0.999,0.06309573444801933,0.0591744672504729,0.0002571973555128985,2.9019651963244538e-05,0.0006647742560945839,0.00040441820774190417
0.9999,1e-06,1.0000000000129176e-06,1.8980268357005057e-09,2.2016944054940404e-10,1.032889117569269e-08,6.264022151906504e-09
0.9999,2.7312637228008467e-06,2.7312637228047905e-06,7.571156531345954e-09,8.783513643269754e-10,3.292523955145121e-08,1.9966298190713753e-08
0.9999,7.459801523487941e-06,7.459801523498798e-06,2.2511864006258263e-08,2.6115240595037115e-09,1.0219694737504763e-07,6.197470065379591e-08
0.9999,2.037468528039706e-05,2.0374685280404408e-05,5.30416433145812e-08,6.152917150318664e-09,2.3016726302578967e-07,1.395792444689829e-07
0.9999,5.564863876983289e-05,5.564863876984252e-05,1.1575010803917725e-07,1.342358591227555e-08,4.6112672952939675e-07,2.7964872970909214e-07
0.9999,0.0001519911082952933,0.00015199110829529212,2.763574597571446e-07,3.2064275982957026e-08,1.5099278274977034e-06,9.157396630987691e-07
0.9999,0.0004151278002752295,0.0004151068649211217,9.34565263266407e-07,1.0841050425425269e-07,6.0663229800602314e-06,3.679235803021504e-06
0.9999,0.0011338235012178484,0.0011261169593776029,2.2256073038665984e-06,2.581025804332393e-07,2.5753001474797717e-05,1.562141167528915e-05
0.9999,0.0030967709969353515,0.0030189929006582583,8.589339598189898e-06,9.951380452982717e-07,9.177448784775481e-05,5.5674209410991324e-05
0.9999,0.008458098281751338,0.007815490477954283,4.9266635225283147e-05,5.703362873062112e-06,0.00026731979322057453,0.00016220481232583813
