label,m,rep,selected_level,adaptive_regret,theorem_bound,bound_satisfied,selected_level_oracle,adaptive_regret_oracle,theorem_bound_oracle,bound_satisfied_oracle,eps_boot_valid,eps_boot_L1,eps_boot_L2,eps_boot_L3,eps_boot_L4,eps_true_L1,eps_true_L2,eps_true_L3,eps_true_L4,regret_fixed_L1,regret_fixed_L2,regret_fixed_L3,regret_fixed_L4
mean,50,16,1,0.037357067230144314,0.46360396437262247,True,1,0.037357067230144314,0.11137678130719875,True,True,0.21312344857123908,0.21571833322905415,0.2923966327411501,0.3264043820922182,0.037009857038527216,0.05935435924679344,0.18690571319523286,0.18690571319523286,0.037357067230144314,0.037357067230144314,0.0245256835944887,0.0
mean,50,17,3,0.030528017631167303,0.23055846088813792,True,3,0.030528017631167303,0.1710554615996468,True,True,0.0966006968289968,0.13377228288855159,0.171603304817032,0.2318311014243223,0.06684919718475124,0.0922152729288469,0.15512345426344282,0.15930886171133485,0.037357067230144314,0.037357067230144314,0.030528017631167303,0.030528017631167303
mean,50,18,1,0.037357067230144314,0.29190686283957146,True,1,0.037357067230144314,0.11920018228213258,True,True,0.12727489780471357,0.15464257627158975,0.20602854102571586,0.25895089482655703,0.040921557525994134,0.06318303370240735,0.07895445277436774,0.15420722942878157,0.037357067230144314,0.037357067230144314,0.037451703381569335,0.04333307317664614
mean,50,19,1,0.037357067230144314,0.22282404775185777,True,1,0.037357067230144314,0.18564004835136505,True,True,0.09273349026085673,0.13730142838560738,0.1843113032466408,0.18874857329546613,0.07414149056061037,0.07592870076205221,0.08717087608475649,0.18604024476382164,0.037357067230144314,0.037357067230144314,0.037357067230144314,0.013093676484002947
mean,50,20,1,0.037357067230144314,0.21074495575381175,True,1,0.037357067230144314,0.2895761107283855,True,False,0.08669394426183372,0.13481332989972997,0.19156895149217232,0.22467341886016085,0.1261095217491206,0.1261095217491206,0.18114369334024577,0.22242353510628854,0.037357067230144314,0.037357067230144314,0.037451703381569335,0.04747892275653787
mean,50,21,1,0.037357067230144314,0.26297276219557175,True,1,0.037357067230144314,0.22050988578634156,True,True,0.1128078474827137,0.14381101387942602,0.17117587058673156,0.24003233701556898,0.09157640927809862,0.09157640927809862,0.1369606207370272,0.18842582986035367,0.037357067230144314,0.037357067230144314,0.037357067230144314,0.015259224710252539
mean,50,22,3,0.06061743617126125,0.18657748989688241,True,1,0.037357067230144314,0.18710661907334292,True,False,0.07461021133336905,0.10867315332229592,0.13617201794421782,0.19079329212685087,0.0748747759215993,0.1072684889023916,0.14101585778377052,0.1679908141835083,0.037357067230144314,0.06962668007635997,0.06061743617126125,0.06587132331774892
mean,50,23,3,0.036838313441200365,0.2351860238736864,True,3,0.036838313441200365,0.13930881404789763,True,True,0.09891447832177104,0.15647911849426394,0.19049432643633474,0.24100708814357344,0.05097587340887666,0.10303974505767644,0.1356516040709952,0.16994890240982535,0.12733713397915836,0.09771083735385,0.036838313441200365,0.024895582475416456
mean,50,24,1,0.037357067230144314,0.2851991639571634,True,1,0.037357067230144314,0.08818049704239017,True,True,0.12392104836350953,0.14626415709182652,0.19870052659624066,0.22793775988272347,0.02541171490612293,0.14106026227621668,0.15534236729293088,0.15534236729293088,0.037357067230144314,0.037357067230144314,0.016551438629055726,0.03491344412166675
mean,50,25,2,0.09771083735385,0.27710904247240165,True,3,0.016571980632732575,0.17238817675094464,True,True,0.11987598762112867,0.1341622057832336,0.20013255359470866,0.2560398841304568,0.06751555476040016,0.0952289339018737,0.125835275604549,0.17988394912233213,0.037357067230144314,0.09771083735385,0.016571980632732575,0.036119444517117794
mean,50,26,3,0.016571980632732575,0.2379639134808704,True,3,0.016571980632732575,0.11463031389108347,True,True,0.10030342312536304,0.17069009995869536,0.21886137876768139,0.2942296715064943,0.03863662333046958,0.03863662333046958,0.07238508967255686,0.15438810368608208,0.037357067230144314,0.06962668007635997,0.016571980632732575,0.016571980632732575
mean,50,27,3,0.05694145504972581,0.2972629194934266,True,1,0.037357067230144314,0.08753770848263631,True,True,0.12995292613164114,0.14907646622374668,0.17105280977385406,0.21111148201357438,0.025090320626246,0.1424913016494777,0.1424913016494777,0.15849120970175884,0.037357067230144314,0.06962668007635997,0.05694145504972581,0.009469938609891093
mean,50,28,2,0.09771083735385,0.26308885355730627,True,4,0.03025773480461058,0.15343782102579195,True,False,0.11286589316358096,0.11557089006590911,0.1869308396630523,0.22247075207210926,0.05804037689782382,0.11775707308999561,0.12787924958906793,0.13166899805543453,0.037357067230144314,0.09771083735385,0.05376992736468611,0.03025773480461058
mean,50,29,1,0.037357067230144314,0.23971280481636423,True,1,0.037357067230144314,0.23333743387697425,True,False,0.10117786879310996,0.186110418608183,0.18876836838564834,0.23240919993367656,0.10452444512751258,0.10452444512751258,0.10858628253977565,0.1683764990810807,0.037357067230144314,0.037357067230144314,0.0223642176848442,0.05752254065110507
mean,100,0,1,0.037357067230144314,0.19950610848454678,True,1,0.037357067230144314,0.15724297678608912,True,True,0.08107452062720123,0.10748685082196409,0.12372978170624374,0.1604663559163772,0.0599429547779724,0.08591936236495368,0.10138693369409685,0.13922343533375026,0.037357067230144314,0.037357067230144314,0.0245256835944887,0.046620587317990236
