alpha,label,protocol,model,seed_index,seed_key,n_subjects_train,n_subjects_test,n_horizons,r2_total,r2_between,r2_within,within_squared_corr,bayes_r2_total,bayes_r2_between,bayes_r2_within,bayes_within_squared_corr,hyperparameter
0.35,occupation,dispersed,gp,3,"[20260802, 777, 3]",2500,5000,2,0.6864735558399945,0.7843219926710612,-0.2986779222972389,0.24619001732139192,0.6919529951487873,0.7902886838903816,-0.2981042020313607,0.25027247291075655,reg=3
0.35,occupation,dispersed,mlp,3,"[20260802, 777, 3]",2500,5000,2,0.6905449323589264,0.7879607266662794,-0.2902506415293966,0.24746735422374191,0.6919529951487873,0.7902886838903816,-0.2981042020313607,0.25027247291075655,weight_decay=0.01
0.35,mean,same_time,ridge,3,"[20260802, 777, 3]",2500,5000,2,0.35555794787897466,0.46044929060072215,-0.9198877371995822,0.09942202122100602,0.3551932970649164,0.4633219144093109,-0.9596166276327529,0.09942202122100605,cv-alpha
0.35,mean,same_time,gp,3,"[20260802, 777, 3]",2500,5000,2,0.3475451047818485,0.4425630818102042,-0.8078435637300931,0.09636718412846171,0.3551932970649164,0.4633219144093109,-0.9596166276327529,0.09942202122100605,reg=10
0.35,mean,same_time,mlp,3,"[20260802, 777, 3]",2500,5000,2,0.35480892606869485,0.45846403110687795,-0.9056044982119755,0.0988869819353069,0.3551932970649164,0.4633219144093109,-0.9596166276327529,0.09942202122100605,weight_decay=0.01
0.35,mean,dispersed,ridge,3,"[20260802, 777, 3]",2500,5000,2,0.7174440016298944,0.8155413850036423,-0.47538927798072583,0.27248372575605406,0.7180708668300373,0.8139238049759853,-0.4474706658459813,0.2733818208309141,cv-alpha
0.35,mean,dispersed,gp,3,"[20260802, 777, 3]",2500,5000,2,0.7025119514548444,0.8008366656220627,-0.4930855989916134,0.2550855041103519,0.7180708668300373,0.8139238049759853,-0.4474706658459813,0.2733818208309141,reg=0.3
0.35,mean,dispersed,mlp,3,"[20260802, 777, 3]",2500,5000,2,0.7163878384123619,0.8142662988630814,-0.47378340741838754,0.27110082573636923,0.7180708668300373,0.8139238049759853,-0.4474706658459813,0.2733818208309141,weight_decay=0.01
0.35,occupation,same_time,ridge,4,"[20260802, 777, 4]",2500,5000,2,0.35614682084309757,0.4566890573277891,-0.6402914462025322,0.085381949931312,0.3593502181706625,0.4603504507881445,-0.6416270852921739,0.08855017951271894,cv-alpha
0.35,occupation,same_time,gp,4,"[20260802, 777, 4]",2500,5000,2,0.35359056098787933,0.4567613086705745,-0.6688979435959583,0.08374617404417084,0.3593502181706625,0.4603504507881445,-0.6416270852921739,0.08855017951271894,reg=0.1
0.35,occupation,same_time,mlp,4,"[20260802, 777, 4]",2500,5000,2,0.3583292964476906,0.4577888888715961,-0.6273792712250676,0.0873632015261436,0.3593502181706625,0.4603504507881445,-0.6416270852921739,0.08855017951271894,weight_decay=0.01
0.35,occupation,dispersed,ridge,4,"[20260802, 777, 4]",2500,5000,2,0.6896947902780215,0.7873195424011201,-0.27782932921091463,0.24001875167914424,0.7013597313978474,0.7982903624228599,-0.2592852013106961,0.25529857019065594,cv-alpha
0.35,occupation,dispersed,gp,4,"[20260802, 777, 4]",2500,5000,2,0.6941798798054709,0.7879800627627715,-0.2354402979669501,0.2502767754728628,0.7013597313978474,0.7982903624228599,-0.2592852013106961,0.25529857019065594,reg=3
0.35,occupation,dispersed,mlp,4,"[20260802, 777, 4]",2500,5000,2,0.6991780512399981,0.7958980608459953,-0.2593794876616813,0.25168168312161165,0.7013597313978474,0.7982903624228599,-0.2592852013106961,0.25529857019065594,weight_decay=0.01
0.35,mean,same_time,ridge,4,"[20260802, 777, 4]",2500,5000,2,0.371805564029416,0.4756563320294567,-0.8553043402644693,0.0928601700273641,0.37192983035757476,0.4745483239694961,-0.8406194102494651,0.0928601700273641,cv-alpha
0.35,mean,same_time,gp,4,"[20260802, 777, 4]",2500,5000,2,0.36775313336167403,0.472006967991754,-0.8641194420547902,0.09043199982372038,0.37192983035757476,0.4745483239694961,-0.8406194102494651,0.0928601700273641,reg=0.3
0.35,mean,same_time,mlp,4,"[20260802, 777, 4]",2500,5000,2,0.371319106625726,0.4752737412072532,-0.8570180944260142,0.09209412490180911,0.37192983035757476,0.4745483239694961,-0.8406194102494651,0.0928601700273641,weight_decay=0.001
0.35,mean,dispersed,ridge,4,"[20260802, 777, 4]",2500,5000,2,0.7236645332759721,0.8167575110939708,-0.37633036614193216,0.29653928557676906,0.7239239874461654,0.8149552517599845,-0.35170952197417993,0.29602050577227845,cv-alpha
0.35,mean,dispersed,gp,4,"[20260802, 777, 4]",2500,5000,2,0.710398584851066,0.8086606163914818,-0.45067431274401915,0.2866740632401112,0.7239239874461654,0.8149552517599845,-0.35170952197417993,0.29602050577227845,reg=0.3
0.35,mean,dispersed,mlp,4,"[20260802, 777, 4]",2500,5000,2,0.7228483495233966,0.8087461362295418,-0.2921275322533561,0.2962689116654642,0.7239239874461654,0.8149552517599845,-0.35170952197417993,0.29602050577227845,weight_decay=0.1
0.35,occupation,same_time,ridge,5,"[20260802, 777, 5]",2500,5000,2,0.3615412149774516,0.46833380795272006,-0.7980495557010363,0.06627739922704122,0.3648214208629498,0.4699788149097792,-0.7770137964310406,0.0694970395057872,cv-alpha
0.35,occupation,same_time,gp,5,"[20260802, 777, 5]",2500,5000,2,0.3609990553008865,0.45602686493686495,-0.6708456442392019,0.06990857869589007,0.3648214208629498,0.4699788149097792,-0.7770137964310406,0.0694970395057872,reg=1
0.35,occupation,same_time,mlp,5,"[20260802, 777, 5]",2500,5000,2,0.3645707384208775,0.4700888741158067,-0.7811815359843002,0.06894656178987947,0.3648214208629498,0.4699788149097792,-0.7770137964310406,0.0694970395057872,weight_decay=0.01
0.35,occupation,dispersed,ridge,5,"[20260802, 777, 5]",2500,5000,2,0.6848284912254805,0.7789731279073354,-0.33742641207516577,0.2396206851054237,0.6969275435398722,0.7924472250353298,-0.34025807012841613,0.2545776196881875,cv-alpha
0.35,occupation,dispersed,gp,5,"[20260802, 777, 5]",2500,5000,2,0.6920720618582461,0.7843644484931059,-0.31007047222610384,0.25477000763755187,0.6969275435398722,0.7924472250353298,-0.34025807012841613,0.2545776196881875,reg=3
0.35,occupation,dispersed,mlp,5,"[20260802, 777, 5]",2500,5000,2,0.6947517886508252,0.7890416776395469,-0.32908031424550477,0.2511118254243832,0.6969275435398722,0.7924472250353298,-0.34025807012841613,0.2545776196881875,weight_decay=0.01
0.35,mean,same_time,ridge,5,"[20260802, 777, 5]",2500,5000,2,0.3706289230181069,0.4829029196825436,-1.0561968554608718,0.07481356071600047,0.3707187577539217,0.4786481281472099,-1.0008936592549094,0.0748135607160005,cv-alpha
0.35,mean,same_time,gp,5,"[20260802, 777, 5]",2500,5000,2,0.36338815048269546,0.46634321696179526,-0.9450086933247488,0.07164593479580623,0.3707187577539217,0.4786481281472099,-1.0008936592549094,0.0748135607160005,reg=3
0.35,mean,same_time,mlp,5,"[20260802, 777, 5]",2500,5000,2,0.3709180359688614,0.48108824490474145,-1.029171911839334,0.0747163080086224,0.3707187577539217,0.4786481281472099,-1.0008936592549094,0.0748135607160005,weight_decay=0.01
0.35,mean,dispersed,ridge,5,"[20260802, 777, 5]",2500,5000,2,0.7273838211965631,0.8161988187789684,-0.4013150033841082,0.2949436409793795,0.7278769953515576,0.8170905257974999,-0.405886554634455,0.29483702191447747,cv-alpha
0.35,mean,dispersed,gp,5,"[20260802, 777, 5]",2500,5000,2,0.7173782678161553,0.8078793810444036,-0.43274843267932717,0.2846265606199114,0.7278769953515576,0.8170905257974999,-0.405886554634455,0.29483702191447747,reg=0.3
0.35,mean,dispersed,mlp,5,"[20260802, 777, 5]",2500,5000,2,0.7255238431057125,0.8071718797657188,-0.3120941889385205,0.29426132126873084,0.7278769953515576,0.8170905257974999,-0.405886554634455,0.29483702191447747,weight_decay=0.1
0.35,occupation,same_time,ridge,6,"[20260802, 777, 6]",2500,5000,2,0.3556600599995856,0.4627515041896775,-0.7168574883152465,0.07628356804275618,0.35937100867512184,0.4633807981358453,-0.6822838614856259,0.07960156039664848,cv-alpha
0.35,occupation,same_time,gp,6,"[20260802, 777, 6]",2500,5000,2,0.3558690834468109,0.4729401660247289,-0.8165942390400556,0.07828167703460441,0.35937100867512184,0.4633807981358453,-0.6822838614856259,0.07960156039664848,reg=0.01
0.35,occupation,same_time,mlp,6,"[20260802, 777, 6]",2500,5000,2,0.358632830441442,0.46522570361631044,-0.7088915443575021,0.07893039739794266,0.35937100867512184,0.4633807981358453,-0.6822838614856259,0.07960156039664848,weight_decay=0.001
0.35,occupation,dispersed,ridge,6,"[20260802, 777, 6]",2500,5000,2,0.683458837196118,0.7846973094010095,-0.3304413751457318,0.22063776097696525,0.6943413975234626,0.7965426729011349,-0.3292012592376421,0.23214249758169425,cv-alpha
0.35,occupation,dispersed,gp,6,"[20260802, 777, 6]",2500,5000,2,0.6869232633235054,0.7849061675061425,-0.2943725345386734,0.22902155831138646,0.6943413975234626,0.7965426729011349,-0.3292012592376421,0.23214249758169425,reg=3
0.35,occupation,dispersed,mlp,6,"[20260802, 777, 6]",2500,5000,2,0.6915070418451388,0.7923511836843956,-0.31844396390812735,0.22930349018968232,0.6943413975234626,0.7965426729011349,-0.3292012592376421,0.23214249758169425,weight_decay=0.01
0.35,mean,same_time,ridge,6,"[20260802, 777, 6]",2500,5000,2,0.37259442850212954,0.4734048746364762,-0.8763503449183383,0.09291768373611822,0.3732164067248903,0.4767721722735454,-0.9097402421048035,0.09291768373611822,cv-alpha
0.35,mean,same_time,gp,6,"[20260802, 777, 6]",2500,5000,2,0.36956876336469224,0.47596008600890516,-0.9485177192275946,0.09098983567824222,0.3732164067248903,0.4767721722735454,-0.9097402421048035,0.09291768373611822,reg=0.3
0.35,mean,same_time,mlp,6,"[20260802, 777, 6]",2500,5000,2,0.371730377925657,0.4727503927178984,-0.879810750237666,0.0917166658203342,0.3732164067248903,0.4767721722735454,-0.9097402421048035,0.09291768373611822,weight_decay=0.001
0.35,mean,dispersed,ridge,6,"[20260802, 777, 6]",2500,5000,2,0.7298732995980891,0.8150248625640205,-0.3250729246568387,0.2856641677458946,0.7305559015544992,0.8190928592083638,-0.36633211706392954,0.2853140838771948,cv-alpha
