config,kernel,alpha,nu2,arm,label,beta,m,n_rep,I_true_ref,bias,bias_se,rmse,sd,coverage,ci_width,uniform_err_mean,uniform_err_sd,uniform_err_median,uniform_err_q90,k_err_mean,r_eff_mean,r_eff_true,kappa,bound_mean,bound_ratio_median,bound_ratio_mean,bound_valid_frac,bound_nonvacuous_frac,small_pert_frac
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,occ_c0,0.5,25,200,0.23984848498187403,0.024576428791901455,0.006627951719850114,0.09667481527417343,0.09373339212966113,nan,nan,0.22137703589844937,0.04742059111326246,0.21043901730038767,0.29148683526595964,11.14258554131252,6.572679171697303,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,occ_c0,0.5,50,200,0.23984848498187403,0.004340787304415279,0.004987431086614088,0.07049015345651735,0.07053292684090826,nan,nan,0.17419239178418727,0.03178046786932724,0.17127488341447955,0.21541246354945776,7.8481891140578455,7.728346743830075,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,occ_c0,0.5,100,200,0.23984848498187403,0.0007491982994816854,0.0042546815278308725,0.06002434475978668,0.06017028320236702,nan,nan,0.13564638269020665,0.025972156661671745,0.13255110088475752,0.171117467248146,5.860838329746491,8.46247502233611,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,occ_c0,0.5,250,200,0.23984848498187403,-0.0071612711673383475,0.0023762084953170832,0.03427697186978963,0.03360466281103584,nan,nan,0.08993632568985593,0.0175281310099469,0.08681254771964472,0.11715290523746452,3.814967612334728,9.29527157304635,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,occ_c0,0.5,500,200,0.23984848498187403,-0.0015205630821704496,0.0018880775270214696,0.026677980151194314,0.026701448455256162,nan,nan,0.06363859997182528,0.013468671875217185,0.06304250650172995,0.0808458460504115,2.770658453893436,9.604121673620863,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,occ_c0,0.5,1000,200,0.23984848498187403,-0.0023530495445946084,0.0012312463754327525,0.017527532682199132,0.01741245322759714,nan,nan,0.046393908798752506,0.009179094941110955,0.04677160151045853,0.059245655604385744,1.996929697886257,9.854486348343984,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,occ_c1,0.5,25,200,0.20836523630016376,0.017765595474398498,0.004795805022534637,0.06994687841197411,0.0678229250536549,nan,nan,0.1586843051941049,0.04282946230118372,0.14954387170563135,0.21484320598187354,11.14258554131252,6.572679171697303,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,occ_c1,0.5,50,200,0.20836523630016376,0.002506692066008601,0.003820521300528736,0.05395334765948035,0.05403033038543034,nan,nan,0.13235209605582768,0.02671372315555614,0.12993363501755406,0.17121939880154663,7.8481891140578455,7.728346743830075,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,occ_c1,0.5,100,200,0.20836523630016376,0.0004351882458513756,0.00340578464391815,0.04804647570757208,0.0481650683395107,nan,nan,0.10616118319622465,0.020958124934338206,0.10242247532765221,0.1326522540674858,5.860838329746491,8.46247502233611,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,occ_c1,0.5,250,200,0.20836523630016376,-0.005655551428644343,0.0019198766491442113,0.027667392453933078,0.02715115595303156,nan,nan,0.07156218766288815,0.014264066929633917,0.06933126721970714,0.09259438081256498,3.814967612334728,9.29527157304635,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
