label,budget,method,fold,r2_heldout,selection_score_train,r2_heldout_sd_over_draws,n_test_records,n_train_records,cost_epochs,runtime_s
N3,8,kernel_quadrature,3,0.4161442909773999,0.714967130265189,nan,37,160,8.0,0.07043520799925318
N3,8,label_aware,3,0.6617036347684485,0.7554539970942945,nan,37,160,8.0,0.04190833299799124
N3,16,consecutive,3,-0.12094420154673124,0.39620653163329655,nan,37,160,16.0,0.0
N3,16,uniform,3,0.42847332379854486,0.6767973503156552,nan,37,160,16.0,0.0
N3,16,random,3,0.4074167308688586,0.5410182618983327,0.16665628074849997,37,160,16.0,0.0
N3,16,imse,3,0.6805338940454623,0.798663055081115,nan,37,160,16.0,0.07888174999970943
N3,16,kernel_quadrature,3,0.6519474572643004,0.8582863693223715,nan,37,160,16.0,0.07043520799925318
N3,16,label_aware,3,0.7915919089952701,0.9096117318210815,nan,37,160,16.0,0.017339875004836358
N3,32,consecutive,3,-0.013135845213318786,0.61435423881589,nan,37,160,32.0,0.0
N3,32,uniform,3,0.6999294988863216,0.8564831649037318,nan,37,160,32.0,0.0
N3,32,random,3,0.6048328485031217,0.7741229618459501,0.16654005602610494,37,160,32.0,0.0
N3,32,imse,3,0.7550893152402947,0.9271543206867473,nan,37,160,32.0,0.07888174999970943
N3,32,kernel_quadrature,3,0.7846970055433408,0.9265409849541417,nan,37,160,32.0,0.07043520799925318
N3,32,label_aware,3,0.8951076346821711,0.9720675385232912,nan,37,160,32.0,0.08369604100153083
N3,64,consecutive,3,0.7199836164088819,0.8903396207632048,nan,37,160,64.0,0.0
N3,64,uniform,3,0.8363759018077528,0.9597976451381851,nan,37,160,64.0,0.0
N3,64,random,3,0.8488186656710465,0.9344509731952707,0.0582910102505552,37,160,64.0,0.0
N3,64,imse,3,0.9194595650014439,0.978366151364737,nan,37,160,64.0,0.07888174999970943
N3,64,kernel_quadrature,3,0.8923415067809408,0.9710875552490106,nan,37,160,64.0,0.07043520799925318
N3,64,label_aware,3,0.8627487326485184,0.9898757884482924,nan,37,160,64.0,0.16748545800510328
N3,4,consecutive,4,0.7628928618928652,0.2413570901376456,nan,37,160,4.0,0.0
N3,4,uniform,4,0.7776468517888107,0.1354570605044978,nan,37,160,4.0,0.0
N3,4,random,4,0.7578375152125522,0.23059236592915644,0.05284863383811552,37,160,4.0,0.0
N3,4,imse,4,0.8200036207500326,0.44156678315748277,nan,37,160,4.0,0.05807620900304755
N3,4,kernel_quadrature,4,0.6439033261929561,0.5174481589852734,nan,37,160,4.0,0.05858062500192318
N3,4,label_aware,4,0.5008459895520871,0.619480575901531,nan,37,160,4.0,0.0178978339972673
