family,family_title,label,method,objective_F,ceiling_I,relative_efficiency,cost,n_actions,times,widths,segments,runtime_s,n_evaluations,n_candidates,budget
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c0,random,0.01575795118314196,0.45959751342900185,0.9651268493988324,4.0,4,2.955;4.591;6.227;8.682,0;0;0;0,1;1;1;1,0.0023316249935305677,20,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c0,mutual_information,0.01375306491672183,0.4011228594561925,0.8423336294412086,4.0,4,0.500;4.591;7.045;9.500,0;0;0;0,1;1;1;1,0.00038745799975004047,42,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c0,imse,0.01614697552397748,0.47094382473771046,0.9889534136549594,4.0,4,2.136;4.591;6.227;7.864,0;0;0;0,1;1;1;1,0.0005296660019666888,42,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c0,linear_target,0.0162435603679215,0.4737608250949072,0.994868943221715,4.0,4,2.136;4.591;7.045;8.682,0;0;0;0,1;1;1;1,0.005394082996645011,119,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c0,kernel_quadrature,0.01614697552397748,0.47094382473771046,0.9889534136549594,4.0,4,2.136;4.591;6.227;7.864,0;0;0;0,1;1;1;1,0.0006265839983825572,42,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c0,label_aware_greedy,0.01614697552397748,0.47094382473771046,0.9889534136549594,4.0,4,2.136;4.591;6.227;7.864,0;0;0;0,1;1;1;1,0.004445916994882282,42,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c0,label_aware,0.0162435603679215,0.4737608250949072,0.994868943221715,4.0,4,2.136;4.591;7.045;8.682,0;0;0;0,1;1;1;1,0.013359500000660773,119,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c0,exhaustive,0.016327336860390347,0.4762042561713835,1.0,4.0,4,1.318;3.773;6.227;8.682,0;0;0;0,1;1;1;1,0.05747545800113585,495,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c1.5,same_time,0.0009080944131588195,0.13687081963480394,0.3842162292029188,4.0,1,5.000,0,4,0.0,1,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c1.5,uniform,0.0016405662783923031,0.24727126159458374,0.6941262715720682,4.0,4,0.039;3.346;6.654;9.961,0;0;0;0,1;1;1;1,0.0,1,12,4.0
