repeat,fold,label_model,method,n_windows,width_minutes,total_minutes,n_train,n_test,ceiling_train,ceiling_test
0,3,indicator_linear,contiguous,16,15.0,240.0,67,17,0.9600582120737277,0.9748037406532595
0,3,indicator_linear,dispersed,16,15.0,240.0,67,17,0.9994629715373025,0.9999997494904463
0,3,indicator_linear,uniform,16,15.0,240.0,67,17,0.9991976819741795,0.9999996639257778
0,3,indicator_linear,random,16,15.0,240.0,67,17,0.9985273645037049,0.999999666389669
0,3,indicator_linear,label_aware,16,15.0,240.0,67,17,0.9998702040281566,0.9999996624487096
0,3,indicator_linear,mutual_information,16,15.0,240.0,67,17,0.9984314496703088,0.9999996623178297
0,3,indicator_linear,imse,16,15.0,240.0,67,17,0.999420049306367,0.9999997514326272
0,3,indicator_linear,kernel_quadrature,16,15.0,240.0,67,17,0.999549251701621,0.9999996008117712
0,3,indicator_linear,contiguous,32,15.0,480.0,67,17,0.9900602185634264,0.9999997528254466
0,3,indicator_linear,dispersed,32,15.0,480.0,67,17,0.9999829179346142,0.9999999997180674
0,3,indicator_linear,uniform,32,15.0,480.0,67,17,0.9999542007692338,0.9999996656404513
0,3,indicator_linear,random,32,15.0,480.0,67,17,0.9999585129759376,0.9999996652486606
0,3,indicator_linear,label_aware,32,15.0,480.0,67,17,0.99996680852242,0.9999997496084977
0,3,indicator_linear,mutual_information,32,15.0,480.0,67,17,0.9999382987304543,0.9999997520552639
0,3,indicator_linear,imse,32,15.0,480.0,67,17,0.9999593669601016,0.9999997496948371
0,3,indicator_linear,kernel_quadrature,32,15.0,480.0,67,17,0.9999750868517453,0.9999997500809866
0,4,indicator_linear,contiguous,1,15.0,15.0,68,16,0.7094210549351956,0.7014069576336236
0,4,indicator_linear,dispersed,1,15.0,15.0,68,16,0.7094210549351956,0.7014069576336236
0,4,indicator_linear,uniform,1,15.0,15.0,68,16,0.6414687461762162,0.607680465737607
0,4,indicator_linear,random,1,15.0,15.0,68,16,0.8641646236969945,0.9290412525125527
0,4,indicator_linear,label_aware,1,15.0,15.0,68,16,0.9174154456864259,0.7015480081623121
0,4,indicator_linear,mutual_information,1,15.0,15.0,68,16,0.6414687461762162,0.607680465737607
0,4,indicator_linear,imse,1,15.0,15.0,68,16,0.9174154456864259,0.7015480081623121
0,4,indicator_linear,kernel_quadrature,1,15.0,15.0,68,16,0.9174154456864259,0.7015480081623121
0,4,indicator_linear,contiguous,2,15.0,30.0,68,16,0.7206982854839828,0.7014813376536381
0,4,indicator_linear,dispersed,2,15.0,30.0,68,16,0.9440455245511156,0.886807935254242
0,4,indicator_linear,uniform,2,15.0,30.0,68,16,0.8806605071991211,0.965332031916579
0,4,indicator_linear,random,2,15.0,30.0,68,16,0.9495978243497766,0.8958418314727054
0,4,indicator_linear,label_aware,2,15.0,30.0,68,16,0.9669864110875686,0.9339415591995928
0,4,indicator_linear,mutual_information,2,15.0,30.0,68,16,0.8625735350772689,0.8452912875894458
0,4,indicator_linear,imse,2,15.0,30.0,68,16,0.9614887010108916,0.8487499429032939
0,4,indicator_linear,kernel_quadrature,2,15.0,30.0,68,16,0.9669864110875686,0.9339415591995928
0,4,indicator_linear,contiguous,4,15.0,60.0,68,16,0.807443221615473,0.712761634371187
0,4,indicator_linear,dispersed,4,15.0,60.0,68,16,0.9882985132495776,0.9827444856173334
0,4,indicator_linear,uniform,4,15.0,60.0,68,16,0.9776693035555026,0.9707442646373774
0,4,indicator_linear,random,4,15.0,60.0,68,16,0.9809780300321727,0.987494902188525
0,4,indicator_linear,label_aware,4,15.0,60.0,68,16,0.9922626853101513,0.9875893108729759
0,4,indicator_linear,mutual_information,4,15.0,60.0,68,16,0.9787874722818487,0.9691239475495267
0,4,indicator_linear,imse,4,15.0,60.0,68,16,0.9899003443327913,0.9627772910475404
0,4,indicator_linear,kernel_quadrature,4,15.0,60.0,68,16,0.9884706567585649,0.986228055578735
0,4,indicator_linear,contiguous,8,15.0,120.0,68,16,0.8631059851077002,0.7183617209941134
0,4,indicator_linear,dispersed,8,15.0,120.0,68,16,0.9970034911467476,0.9985641124262341
0,4,indicator_linear,uniform,8,15.0,120.0,68,16,0.9919211328163828,0.9986170706197565
0,4,indicator_linear,random,8,15.0,120.0,68,16,0.9947271634484252,0.9940364759265329
0,4,indicator_linear,label_aware,8,15.0,120.0,68,16,0.9977363603844606,0.9931012427541458
0,4,indicator_linear,mutual_information,8,15.0,120.0,68,16,0.9906740132412445,0.999441668896646
0,4,indicator_linear,imse,8,15.0,120.0,68,16,0.9973554634290839,0.9968845355894063
0,4,indicator_linear,kernel_quadrature,8,15.0,120.0,68,16,0.997466816871545,0.994492115216322
0,4,indicator_linear,contiguous,16,15.0,240.0,68,16,0.9331442161256212,0.9515383945701157
0,4,indicator_linear,dispersed,16,15.0,240.0,68,16,0.9995703587080025,0.9999999642588556
